release_name,class,difficulty,testbench_file,simulator,flags,compile_unpatched,reference_result,patch
dualedge-2,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/224,tb_mismatch removed from $dumpvars
history_shift,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/2055,tb_mismatch removed from $dumpvars
lfsr5,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/4443,tb_mismatch removed from $dumpvars
review2015_count1k,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/8027,tb_mismatch removed from $dumpvars
review2015_fsm,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/5069,tb_mismatch removed from $dumpvars
timer,sequential,4,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/7127,tb_mismatch removed from $dumpvars
2012_q2b,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/600,tb_mismatch removed from $dumpvars
2014_q3c-2,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
Dff16e,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/443,tb_mismatch removed from $dumpvars
Fsm_ps2,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/400,tb_mismatch removed from $dumpvars
Fsm_ps2data,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1619,tb_mismatch removed from $dumpvars
Fsm_serial,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/905,tb_mismatch removed from $dumpvars
Fsm_serialdata,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/905,tb_mismatch removed from $dumpvars
Rule110,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/6283,tb_mismatch removed from $dumpvars
Rule90,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/7121,tb_mismatch removed from $dumpvars
Shift18,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/4041,tb_mismatch removed from $dumpvars
ece241_2013_q12,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/530,tb_mismatch removed from $dumpvars
ece241_2013_q8,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/440,tb_mismatch removed from $dumpvars
ece241_2014_q4,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/118,tb_mismatch removed from $dumpvars
ece241_2014_q5b,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/436,tb_mismatch removed from $dumpvars
lemmings1,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/229,tb_mismatch removed from $dumpvars
lemmings2,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/441,tb_mismatch removed from $dumpvars
lemmings3,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/443,tb_mismatch removed from $dumpvars
lemmings4,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/1003,tb_mismatch removed from $dumpvars
m2014_q4d,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/100,tb_mismatch removed from $dumpvars
review2015_fsmseq,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/643,tb_mismatch removed from $dumpvars
review2015_fsmshift,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/200,tb_mismatch removed from $dumpvars
review2015_shiftcount,sequential,3,testbench.sv,Icarus Verilog 13.0,-g2012,fwdref_tb_mismatch,PASS 0/2071,tb_mismatch removed from $dumpvars
