release_name,source_dir,class,difficulty,testbench_file,testbench_kind,in_verilogeval,ve_prob_id,ve_name,duplicate_of,released_as
7420_b,7420_b,combinational,1,testbench.v,plain_verilog,1,Prob065,7420,,labels_and_our_testbench
Andgate,Andgate,combinational,1,testbench.v,plain_verilog,1,Prob014,andgate,,labels_and_our_testbench
Bugs_mux2,Bugs_mux2,combinational,1,testbench.v,plain_verilog,1,Prob062,bugs_mux2,,labels_and_our_testbench
Bugs_nand3,Bugs_nand3,combinational,1,testbench.v,plain_verilog,0,,,,full
Fadd,Fadd,combinational,1,testbench.v,plain_verilog,1,Prob027,fadd,,labels_and_our_testbench
Gates,Gates,combinational,1,testbench.v,plain_verilog,1,Prob087,gates,,labels_and_our_testbench
Mux2to1_b,Mux2to1_b,combinational,1,testbench.v,plain_verilog,1,Prob022,mux2to1,,labels_and_our_testbench
Norgate_b,Norgate_b,combinational,1,testbench.v,plain_verilog,1,Prob011,norgate,,labels_and_our_testbench
Step_one,Step_one,combinational,1,testbench.v,plain_verilog,1,Prob003,step_one,,labels_and_our_testbench
Wire,Wire,combinational,1,testbench.v,plain_verilog,1,Prob007,wire,,labels_and_our_testbench
Wire4_b,Wire4_b,combinational,1,testbench.v,plain_verilog,1,Prob059,wire4,,labels_and_our_testbench
Xnorgate_b,Xnorgate_b,combinational,1,testbench.v,plain_verilog,1,Prob012,xnorgate,,labels_and_our_testbench
Zero,Zero,combinational,1,testbench.v,plain_verilog,1,Prob001,zero,,labels_and_our_testbench
and2,and2,combinational,1,testbench.v,plain_verilog,0,,,,full
basic1,basic1,combinational,1,testbench.v,plain_verilog,0,,,,full
basic2,basic2,combinational,1,testbench.v,plain_verilog,0,,,,full
basic4,basic4,combinational,1,testbench.v,plain_verilog,0,,,,full
bugs_mux2-2,bugs_mux2-2,combinational,1,testbench.sv,systemverilog,1,Prob062,bugs_mux2,bugs_mux2,labels_only
full_adder,full_adder,combinational,1,testbench.v,plain_verilog,0,,,,full
m2014_q4e,m2014_q4e,combinational,1,testbench.sv,systemverilog,1,Prob013,m2014_q4e,,labels_only
m2014_q4h,m2014_q4h,combinational,1,testbench.v,plain_verilog,1,Prob008,m2014_q4h,,labels_and_our_testbench
mux_4x1,mux_4x1,combinational,1,testbench.v,plain_verilog,0,,,,full
nor2,nor2,combinational,1,testbench.v,plain_verilog,0,,,,full
not1,not1,combinational,1,testbench.v,plain_verilog,0,,,,full
or2,or2,combinational,1,testbench.v,plain_verilog,0,,,,full
xor2,xor2,combinational,1,testbench.v,plain_verilog,0,,,,full
Always_casez,Always_casez,combinational,5,testbench.v,plain_verilog,1,Prob071,always_casez,,labels_and_our_testbench
Always_if2,Always_if2,combinational,5,testbench.v,plain_verilog,1,Prob132,always_if2,,labels_and_our_testbench
Fsm3comb,Fsm3comb,combinational,5,testbench.v,plain_verilog,1,Prob100,fsm3comb,,labels_and_our_testbench
Fsm3onehot,Fsm3onehot,combinational,5,testbench.v,plain_verilog,1,Prob079,fsm3onehot,,labels_and_our_testbench
Kmap3,Kmap3,combinational,5,testbench.v,plain_verilog,1,Prob125,kmap3,,labels_and_our_testbench
Mux256to1,Mux256to1,combinational,5,testbench.v,plain_verilog,1,Prob018,mux256to1,,labels_and_our_testbench
Mux256to1v,Mux256to1v,combinational,5,testbench.v,plain_verilog,1,Prob021,mux256to1v,,labels_and_our_testbench
Popcount255,Popcount255,combinational,5,testbench.v,plain_verilog,1,Prob030,popcount255,,labels_and_our_testbench
Reduction,Reduction,combinational,5,testbench.v,plain_verilog,1,Prob025,reduction,,labels_and_our_testbench
Ringer,Ringer,combinational,5,testbench.v,plain_verilog,1,Prob036,ringer,,labels_and_our_testbench
Thermostat,Thermostat,combinational,5,testbench.v,plain_verilog,1,Prob072,thermostat,,labels_and_our_testbench
Vector100r,Vector100r,combinational,5,testbench.v,plain_verilog,1,Prob023,vector100r,,labels_and_our_testbench
Vector2_b,Vector2_b,combinational,5,testbench.v,plain_verilog,1,Prob004,vector2,,labels_and_our_testbench
Vector3_b,Vector3_b,combinational,5,testbench.v,plain_verilog,1,Prob064,vector3,,labels_and_our_testbench
Vector5_b,Vector5_b,combinational,5,testbench.v,plain_verilog,1,Prob043,vector5,,labels_and_our_testbench
Vectorgates,Vectorgates,combinational,5,testbench.v,plain_verilog,1,Prob044,vectorgates,,labels_and_our_testbench
barrel_shifter,barrel_shifter,combinational,5,testbench.v,plain_verilog,0,,,,full
circuit5,circuit5,combinational,5,testbench.sv,systemverilog,1,Prob130,circuit5,,labels_only
circuit6,circuit6,combinational,5,testbench.sv,systemverilog,1,Prob126,circuit6,,labels_only
div_16bit,div_16bit,combinational,5,testbench.v,plain_verilog,0,,,,full
fsm3onehot-2,fsm3onehot-2,combinational,5,testbench.sv,systemverilog,1,Prob079,fsm3onehot,fsm3onehot,labels_only
fsm_onehot-2,fsm_onehot-2,combinational,5,testbench.sv,systemverilog,1,Prob143,fsm_onehot,fsm_onehot,labels_only
jeff_74x181,jeff_74x181,combinational,5,testbench.v,plain_verilog,0,,,,full
multi_8bit,multi_8bit,combinational,5,testbench.v,plain_verilog,0,,,,full
sub_64bit,sub_64bit,combinational,5,testbench.v,plain_verilog,0,,,,full
Adder100,Adder100,combinational,4,testbench.v,plain_verilog,0,,,,full
Always_case,Always_case,combinational,4,testbench.v,plain_verilog,1,Prob076,always_case,,labels_and_our_testbench
Always_case2,Always_case2,combinational,4,testbench.v,plain_verilog,1,Prob112,always_case2,,labels_and_our_testbench
Gatesv100,Gatesv100,combinational,4,testbench.v,plain_verilog,1,Prob092,gatesv100,,labels_and_our_testbench
Kmap2_alt,Kmap2'',combinational,4,testbench.v,plain_verilog,1,Prob057,kmap2,Kmap2,labels_and_our_testbench
Kmap4,Kmap4,combinational,4,testbench.v,plain_verilog,1,Prob122,kmap4,,labels_and_our_testbench
Mux9to1v_b,Mux9to1v_b,combinational,4,testbench.v,plain_verilog,1,Prob097,mux9to1v,,labels_and_our_testbench
Truethtable1_b,Truethtable1_b,combinational,4,testbench.v,plain_verilog,0,,,,full
Vector1,Vector1,combinational,4,testbench.v,plain_verilog,1,Prob015,vector1,,labels_and_our_testbench
Vector4,Vector4,combinational,4,testbench.v,plain_verilog,1,Prob042,vector4,,labels_and_our_testbench
Vectorr,Vectorr,combinational,4,testbench.v,plain_verilog,1,Prob006,vectorr,,labels_and_our_testbench
adder_bcd,adder_bcd,combinational,4,testbench.v,plain_verilog,0,,,,full
advanced1,advanced1,combinational,4,testbench.v,plain_verilog,0,,,,full
always_case2-2,always_case2-2,combinational,4,testbench.sv,systemverilog,1,Prob112,always_case2,always_case2,labels_only
circuit2,circuit2,combinational,4,testbench.sv,systemverilog,1,Prob103,circuit2,,labels_only
circuit3,circuit3,combinational,4,testbench.sv,systemverilog,1,Prob102,circuit3,,labels_only
circuit4,circuit4,combinational,4,testbench.sv,systemverilog,1,Prob101,circuit4,,labels_only
ece241_2013_q2_alt,ece241_2013_q2'',combinational,4,testbench.v,systemverilog,1,Prob070,ece241_2013_q2,ece241_2013_q2,labels_only
ece241_2013_q2-2,ece241_2013_q2-2,combinational,4,testbench.sv,systemverilog,1,Prob070,ece241_2013_q2,ece241_2013_q2,labels_only
ece241_2014_q3,ece241_2014_q3,combinational,4,testbench.sv,systemverilog,1,Prob093,ece241_2014_q3,,labels_only
encoder_to_decoder,encoder_to_decoder,combinational,4,testbench.v,plain_verilog,0,,,,full
fixed_point_adder,fixed_point_adder,combinational,4,testbench.v,plain_verilog,0,,,,full
fixed_point_subtractor,fixed_point_subtractor,combinational,4,testbench.v,plain_verilog,0,,,,full
intermediate7,intermediate7,combinational,4,testbench.v,plain_verilog,0,,,,full
2012_q1g,2012_q1g,combinational,3,testbench.v,plain_verilog,1,Prob113,2012_q1g,,labels_and_our_testbench
Adder3,Adder3,combinational,3,testbench.v,plain_verilog,0,,,,full
Always_nolatches,Always_nolatches,combinational,3,testbench.v,plain_verilog,1,Prob106,always_nolatches,,labels_and_our_testbench
Bugs_addsubz,Bugs_addsubz,combinational,3,testbench.v,plain_verilog,1,Prob123,bugs_addsubz,,labels_and_our_testbench
Conditional,Conditional,combinational,3,testbench.v,plain_verilog,1,Prob055,conditional,,labels_and_our_testbench
Popcount3,Popcount3,combinational,3,testbench.v,plain_verilog,1,Prob009,popcount3,,labels_and_our_testbench
adder_16bit,adder_16bit,combinational,3,testbench.v,plain_verilog,0,,,,full
adder_8bit,adder_8bit,combinational,3,testbench.v,plain_verilog,0,,,,full
circuit1,circuit1,combinational,3,testbench.sv,systemverilog,1,Prob090,circuit1,,labels_only
comparator_3bit,comparator_3bit,combinational,3,testbench.v,plain_verilog,0,,,,full
comparator_4bit,comparator_4bit,combinational,3,testbench.v,plain_verilog,0,,,,full
ece241_2014_q1c,ece241_2014_q1c,combinational,3,testbench.v,plain_verilog,1,Prob033,ece241_2014_q1c,,labels_and_our_testbench
intermediate8,intermediate8,combinational,3,testbench.v,plain_verilog,0,,,,full
m2014_q3,m2014_q3,combinational,3,testbench.sv,systemverilog,1,Prob116,m2014_q3,,labels_only
m2014_q4f,m2014_q4f,combinational,3,testbench.sv,systemverilog,1,Prob019,m2014_q4f,,labels_only
m2014_q4g,m2014_q4g,combinational,3,testbench.sv,systemverilog,1,Prob029,m2014_q4g,,labels_only
m2014_q4i,m2014_q4i,combinational,3,testbench.sv,systemverilog,1,Prob002,m2014_q4i,,labels_only
m2014_q4j,m2014_q4j,combinational,3,testbench.sv,systemverilog,1,Prob016,m2014_q4j,,labels_only
m2014_q6b,m2014_q6b,combinational,3,testbench.sv,systemverilog,1,Prob135,m2014_q6b,,labels_only
m2014_q6c-2,m2014_q6c-2,combinational,3,testbench.sv,systemverilog,1,Prob099,m2014_q6c,m2014_q6c,labels_only
mt2015_q4,mt2015_q4,combinational,3,testbench.sv,systemverilog,1,Prob131,mt2015_q4,,labels_only
mt2015_q4b,mt2015_q4b,combinational,3,testbench.sv,systemverilog,1,Prob083,mt2015_q4b,,labels_only
truthtable1,truthtable1,combinational,3,testbench.sv,systemverilog,1,Prob069,truthtable1,,labels_only
vector0,vector0,combinational,3,testbench.sv,systemverilog,1,Prob032,vector0,,labels_only
wire_decl,wire_decl,combinational,3,testbench.sv,systemverilog,1,Prob077,wire_decl,,labels_only
2014_q3bfsm,2014_q3bfsm,sequential,2,testbench.sv,systemverilog,1,Prob121,2014_q3bfsm,,labels_only
2014_q4a,2014_q4a,sequential,2,testbench.sv,systemverilog,1,Prob061,2014_q4a,,labels_only
Countbcd,Countbcd,sequential,2,testbench.sv,systemverilog,1,Prob068,countbcd,,labels_only
Countslow,Countslow,sequential,2,testbench.sv,systemverilog,1,Prob067,countslow,,labels_only
Dff8ar,Dff8ar,sequential,2,testbench.sv,systemverilog,1,Prob047,dff8ar,,labels_only
Dff8p,Dff8p,sequential,2,testbench.sv,systemverilog,1,Prob046,dff8p,,labels_only
Edgecapture,Edgecapture,sequential,2,testbench.sv,systemverilog,1,Prob066,edgecapture,,labels_only
Edgedetect,Edgedetect,sequential,2,testbench.sv,systemverilog,1,Prob054,edgedetect,,labels_only
Edgedetect2,Edgedetect2,sequential,2,testbench.sv,systemverilog,1,Prob045,edgedetect2,,labels_only
Fsm3,Fsm3,sequential,2,testbench.sv,systemverilog,1,Prob119,fsm3,,labels_only
Fsm3s,Fsm3s,sequential,2,testbench.sv,systemverilog,1,Prob120,fsm3s,,labels_only
Popcount3,Popcount3,sequential,2,testbench.v,plain_verilog,1,Prob009,popcount3,,labels_and_our_testbench
Shift4,Shift4,sequential,2,testbench.sv,systemverilog,1,Prob085,shift4,,labels_only
advanced2,advanced2,sequential,2,testbench.v,plain_verilog,0,,,,full
counter_2bc,counter_2bc,sequential,2,testbench.sv,systemverilog,1,Prob075,counter_2bc,,labels_only
d_flip_flop_pos_edge_sync_en,d_flip_flop_pos_edge_sync_en,sequential,2,testbench.v,plain_verilog,0,,,,full
d_flip_flop_pulse_triggered,d_flip_flop_pulse_triggered,sequential,2,testbench.v,plain_verilog,0,,,,full
edge_detect,edge_detect,sequential,2,testbench.v,plain_verilog,1,Prob054,edgedetect,,labels_and_our_testbench
fsm,fsm,sequential,2,testbench.v,plain_verilog,0,,,,full
fsm1s,fsm1s,sequential,2,testbench.sv,systemverilog,1,Prob107,fsm1s,,labels_only
fsm2s,fsm2s,sequential,2,testbench.sv,systemverilog,1,Prob111,fsm2s,,labels_only
intermediate3,intermediate3,sequential,2,testbench.v,plain_verilog,0,,,,full
jk_flip_flop_pos_edge_sync_clear,jk_flip_flop_pos_edge_sync_clear,sequential,2,testbench.v,plain_verilog,0,,,,full
jk_flip_flop_pulse_triggered,jk_flip_flop_pulse_triggered,sequential,2,testbench.v,plain_verilog,0,,,,full
m2014_q4k,m2014_q4k,sequential,2,testbench.sv,systemverilog,1,Prob060,m2014_q4k,,labels_only
m2014_q6,m2014_q6,sequential,2,testbench.sv,systemverilog,1,Prob136,m2014_q6,,labels_only
mt2015_muxdff,mt2015_muxdff,sequential,2,testbench.sv,systemverilog,1,Prob104,mt2015_muxdff,,labels_only
simple_8_bit_register,simple_8_bit_register,sequential,2,testbench.v,plain_verilog,0,,,,full
square_wave,square_wave,sequential,2,testbench.v,plain_verilog,0,,,,full
up_down_counter,up_down_counter,sequential,2,testbench.v,plain_verilog,0,,,,full
Count10,Count10,sequential,1,testbench.sv,systemverilog,1,Prob040,count10,,labels_only
Count15,Count15,sequential,1,testbench.sv,systemverilog,1,Prob038,count15,,labels_only
Count1to10,Count1to10,sequential,1,testbench.sv,systemverilog,1,Prob035,count1to10,,labels_only
Dff,Dff,sequential,1,testbench.sv,systemverilog,1,Prob031,dff,,labels_only
Dff8,Dff8,sequential,1,testbench.sv,systemverilog,1,Prob034,dff8,,labels_only
Dff8r,Dff8r,sequential,1,testbench.sv,systemverilog,1,Prob041,dff8r,,labels_only
clkgenerator,clkgenerator,sequential,1,testbench.v,plain_verilog,0,,,,full
counter_12,counter_12,sequential,1,testbench.v,plain_verilog,0,,,,full
d_flip_flop,d_flip_flop,sequential,1,testbench.v,plain_verilog,0,,,,full
down_counter,down_counter,sequential,1,testbench.v,plain_verilog,0,,,,full
ece241_2013_q7,ece241_2013_q7,sequential,1,testbench.sv,systemverilog,1,Prob056,ece241_2013_q7,,labels_only
fsm1,fsm1,sequential,1,testbench.sv,systemverilog,1,Prob109,fsm1,,labels_only
fsm2,fsm2,sequential,1,testbench.sv,systemverilog,1,Prob110,fsm2,,labels_only
intermediate2,intermediate2,sequential,1,testbench.v,plain_verilog,0,,,,full
intermediate4,intermediate4,sequential,1,testbench.v,plain_verilog,0,,,,full
intermediate5,intermediate5,sequential,1,testbench.v,plain_verilog,0,,,,full
jk_flip_flop,jk_flip_flop,sequential,1,testbench.v,plain_verilog,0,,,,full
left_shift_register,left_shift_register,sequential,1,testbench.v,plain_verilog,0,,,,full
m2014_q4a,m2014_q4a,sequential,1,testbench.v,systemverilog,1,Prob028,m2014_q4a,,labels_only
m2014_q4b,m2014_q4b,sequential,1,testbench.sv,systemverilog,1,Prob049,m2014_q4b,,labels_only
m2014_q4c,m2014_q4c,sequential,1,testbench.sv,systemverilog,1,Prob048,m2014_q4c,,labels_only
m2014_q4c_alt,m2014_q4c'',sequential,1,testbench.v,systemverilog,1,Prob048,m2014_q4c,m2014_q4c,labels_only
right_shifter,right_shifter,sequential,1,testbench.v,plain_verilog,0,,,,full
sr_flip_flop,sr_flip_flop,sequential,1,testbench.v,plain_verilog,0,,,,full
sr_latch,sr_latch,sequential,1,testbench.v,plain_verilog,0,,,,full
t_flip_flop,t_flip_flop,sequential,1,testbench.v,plain_verilog,0,,,,full
up_counter,up_counter,sequential,1,testbench.v,plain_verilog,0,,,,full
2013_q2afsm,2013_q2afsm,sequential,5,testbench.sv,systemverilog,1,Prob148,2013_q2afsm,,labels_only
2013_q2bfsm,2013_q2bfsm,sequential,5,testbench.sv,systemverilog,1,Prob139,2013_q2bfsm,,labels_only
Count_clock,Count_clock,sequential,5,testbench.sv,systemverilog,1,Prob141,count_clock,,labels_only
RAM,RAM,sequential,5,testbench.v,plain_verilog,0,,,,full
ROM,ROM,sequential,5,testbench.v,plain_verilog,0,,,,full
adder_pipe_64bit,adder_pipe_64bit,sequential,5,testbench.v,plain_verilog,0,,,,full
buttons,buttons,sequential,5,testbench.v,plain_verilog,0,,,,full
calendar,calendar,sequential,5,testbench.v,plain_verilog,0,,,,full
ece241_2013_q4,ece241_2013_q4,sequential,5,testbench.sv,systemverilog,1,Prob149,ece241_2013_q4,,labels_only
ece241_2014_q5a,ece241_2014_q5a,sequential,5,testbench.sv,systemverilog,1,Prob089,ece241_2014_q5a,,labels_only
float_multi,float_multi,sequential,5,testbench.v,plain_verilog,0,,,,full
freq_divbyfrac,freq_divbyfrac,sequential,5,testbench.v,plain_verilog,0,,,,full
gshare,gshare,sequential,5,testbench.sv,systemverilog,1,Prob153,gshare,,labels_only
instr_reg,instr_reg,sequential,5,testbench.v,plain_verilog,0,,,,full
lifo_synchronous,lifo_synchronous,sequential,5,testbench.v,plain_verilog,0,,,,full
m2014_q6c_alt,m2014_q6c'',sequential,5,testbench.v,plain_verilog,1,Prob099,m2014_q6c,m2014_q6c,labels_and_our_testbench
multi_16bit,multi_16bit,sequential,5,testbench.v,plain_verilog,0,,,,full
multi_booth_8bit,multi_booth_8bit,sequential,5,testbench.v,plain_verilog,0,,,,full
multi_pipe_8bit,multi_pipe_8bit,sequential,5,testbench.v,plain_verilog,0,,,,full
priority_arbiter_alt,priority_arbiter'',sequential,5,testbench.v,plain_verilog,0,,,priority_arbiter,full
programable_8_bit_microprocessor,programable_8_bit_microprocessor,sequential,5,testbench.v,plain_verilog,0,,,,full
radix2_div_alt,radix2_div',sequential,5,testbench.v,plain_verilog,0,,,radix2_div,full
review2015_fancytimer,review2015_fancytimer,sequential,5,testbench.sv,systemverilog,1,Prob156,review2015_fancytimer,,labels_only
review2015_fsmonehot,review2015_fsmonehot,sequential,5,testbench.sv,systemverilog,1,Prob150,review2015_fsmonehot,,labels_only
ring_counter,ring_counter,sequential,5,testbench.v,plain_verilog,0,,,,full
rotate100,rotate100,sequential,5,testbench.sv,systemverilog,1,Prob105,rotate100,,labels_only
sequence_detector,sequence_detector,sequential,5,testbench.v,plain_verilog,0,,,,full
single_port_ram_synchronous,single_port_ram_synchronous,sequential,5,testbench.v,plain_verilog,0,,,,full
synchronizer,synchronizer,sequential,5,testbench.v,plain_verilog,0,,,,full
traffic_light,traffic_light,sequential,5,testbench.v,plain_verilog,0,,,,full
2012_q2fsm,2012_q2fsm,sequential,4,testbench.sv,systemverilog,1,Prob138,2012_q2fsm,,labels_only
2014_q3fsm,2014_q3fsm,sequential,4,testbench.sv,systemverilog,1,Prob133,2014_q3fsm,,labels_only
Cs450_timer,Cs450_timer,sequential,4,testbench.v,plain_verilog,0,,,,full
Dualedge,Dualedge,sequential,4,testbench.v,plain_verilog,1,Prob078,dualedge,,labels_and_our_testbench
Fsm_hdlc,Fsm_hdlc,sequential,4,testbench.sv,systemverilog,1,Prob140,fsm_hdlc,,labels_only
JC_counter,JC_counter,sequential,4,testbench.v,plain_verilog,0,,,,full
LFSR,LFSR,sequential,4,testbench.v,plain_verilog,0,,,,full
LIFObuffer,LIFObuffer,sequential,4,testbench.v,plain_verilog,0,,,,full
Lfsr32,Lfsr32,sequential,4,testbench.sv,systemverilog,1,Prob082,lfsr32,,labels_only
accu,accu,sequential,4,testbench.v,plain_verilog,0,,,,full
advanced3,advanced3,sequential,4,testbench.v,plain_verilog,0,,,,full
advanced4,advanced4,sequential,4,testbench.v,plain_verilog,0,,,,full
advanced5,advanced5,sequential,4,testbench.v,plain_verilog,0,,,,full
circuit10,circuit10,sequential,4,testbench.sv,systemverilog,1,Prob147,circuit10,,labels_only
circuit7,circuit7,sequential,4,testbench.sv,systemverilog,1,Prob098,circuit7,,labels_only
circuit8,circuit8,sequential,4,testbench.sv,systemverilog,1,Prob145,circuit8,,labels_only
circuit9,circuit9,sequential,4,testbench.sv,systemverilog,1,Prob117,circuit9,,labels_only
dualedge-2,dualedge-2,sequential,4,testbench.sv,systemverilog,1,Prob078,dualedge,dualedge,labels_only
freq_divbyeven,freq_divbyeven,sequential,4,testbench.v,plain_verilog,0,,,,full
freq_divbyodd,freq_divbyodd,sequential,4,testbench.v,plain_verilog,0,,,,full
history_shift,history_shift,sequential,4,testbench.sv,systemverilog,1,Prob118,history_shift,,labels_only
lfsr5,lfsr5,sequential,4,testbench.sv,systemverilog,1,Prob086,lfsr5,,labels_only
multi_pipe_4bit,multi_pipe_4bit,sequential,4,testbench.v,plain_verilog,0,,,,full
parallel2serial,parallel2serial,sequential,4,testbench.v,plain_verilog,0,,,,full
pe,pe,sequential,4,testbench.v,plain_verilog,0,,,,full
pulse_detect,pulse_detect,sequential,4,testbench.v,plain_verilog,0,,,,full
review2015_count1k,review2015_count1k,sequential,4,testbench.sv,systemverilog,1,Prob037,review2015_count1k,,labels_only
review2015_fsm,review2015_fsm,sequential,4,testbench.sv,systemverilog,1,Prob151,review2015_fsm,,labels_only
serial2parallel,serial2parallel,sequential,4,testbench.v,plain_verilog,0,,,,full
signal_generator,signal_generator,sequential,4,testbench.v,plain_verilog,0,,,,full
timer,timer,sequential,4,testbench.sv,systemverilog,1,Prob080,timer,,labels_only
width_8to16,width_8to16,sequential,4,testbench.v,plain_verilog,0,,,,full
2012_q2b,2012_q2b,sequential,3,testbench.sv,systemverilog,1,Prob091,2012_q2b,,labels_only
2014_q3c,2014_q3c,sequential,3,testbench.v,plain_verilog,1,Prob134,2014_q3c,,labels_and_our_testbench
2014_q3c-2,2014_q3c-2,sequential,3,testbench.sv,systemverilog,1,Prob134,2014_q3c,2014_q3c,labels_only
Dff16e,Dff16e,sequential,3,testbench.sv,systemverilog,1,Prob073,dff16e,,labels_only
Fsm_ps2,Fsm_ps2,sequential,3,testbench.sv,systemverilog,1,Prob128,fsm_ps2,,labels_only
Fsm_ps2data,Fsm_ps2data,sequential,3,testbench.sv,systemverilog,1,Prob154,fsm_ps2data,,labels_only
Fsm_serial,Fsm_serial,sequential,3,testbench.sv,systemverilog,1,Prob137,fsm_serial,,labels_only
Fsm_serialdata,Fsm_serialdata,sequential,3,testbench.sv,systemverilog,1,Prob146,fsm_serialdata,,labels_only
Rule110,Rule110,sequential,3,testbench.sv,systemverilog,1,Prob124,rule110,,labels_only
Rule90,Rule90,sequential,3,testbench.sv,systemverilog,1,Prob108,rule90,,labels_only
Shift18,Shift18,sequential,3,testbench.sv,systemverilog,1,Prob115,shift18,,labels_only
ece241_2013_q12,ece241_2013_q12,sequential,3,testbench.sv,systemverilog,1,Prob084,ece241_2013_q12,,labels_only
ece241_2013_q8,ece241_2013_q8,sequential,3,testbench.sv,systemverilog,1,Prob129,ece241_2013_q8,,labels_only
ece241_2014_q4,ece241_2014_q4,sequential,3,testbench.sv,systemverilog,1,Prob074,ece241_2014_q4,,labels_only
ece241_2014_q5b,ece241_2014_q5b,sequential,3,testbench.sv,systemverilog,1,Prob088,ece241_2014_q5b,,labels_only
freq_div,freq_div,sequential,3,testbench.v,plain_verilog,0,,,,full
intermediate6,intermediate6,sequential,3,testbench.v,plain_verilog,0,,,,full
jeff_74x161,jeff_74x161,sequential,3,testbench.v,plain_verilog,0,,,,full
jeff_74x377,jeff_74x377,sequential,3,testbench.v,plain_verilog,0,,,,full
