class,difficulty,problem,tb,g2012_unpatched,golden_result,patch
sequential logic,Basic(2),Fsm3s,testbench.sv,fwdref_tb_mismatch,PASS 0/230,patched
sequential logic,Basic(2),Shift4,testbench.sv,fwdref_tb_mismatch,PASS 0/427,patched
sequential logic,Basic(2),counter_2bc,testbench.sv,fwdref_tb_mismatch,PASS 0/1051,patched
sequential logic,Basic(2),fsm1s,testbench.sv,fwdref_tb_mismatch,PASS 0/230,patched
sequential logic,Basic(2),fsm2s,testbench.sv,fwdref_tb_mismatch,PASS 0/241,patched
sequential logic,Basic(2),m2014_q4k,testbench.sv,fwdref_tb_mismatch,PASS 0/299,patched
sequential logic,Basic(2),m2014_q6,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
sequential logic,Basic(2),mt2015_muxdff,testbench.sv,fwdref_tb_mismatch,PASS 0/199,patched
sequential logic,Beginner(1),Count10,testbench.sv,fwdref_tb_mismatch,PASS 0/439,patched
sequential logic,Beginner(1),Count15,testbench.sv,fwdref_tb_mismatch,PASS 0/421,patched
sequential logic,Beginner(1),Count1to10,testbench.sv,fwdref_tb_mismatch,PASS 0/439,patched
sequential logic,Beginner(1),Dff,testbench.sv,fwdref_tb_mismatch,PASS 0/121,patched
sequential logic,Beginner(1),Dff8,testbench.sv,fwdref_tb_mismatch,PASS 0/41,patched
sequential logic,Beginner(1),Dff8r,testbench.sv,fwdref_tb_mismatch,PASS 0/432,patched
sequential logic,Beginner(1),ece241_2013_q7,testbench.sv,fwdref_tb_mismatch,PASS 0/422,patched
sequential logic,Beginner(1),fsm1,testbench.sv,fwdref_tb_mismatch,PASS 0/228,patched
sequential logic,Beginner(1),fsm2,testbench.sv,fwdref_tb_mismatch,PASS 0/241,patched
sequential logic,Beginner(1),m2014_q4a,testbench.v,fwdref_tb_mismatch,PASS 0/100,patched
sequential logic,Beginner(1),m2014_q4b,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
sequential logic,Beginner(1),m2014_q4c,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
sequential logic,Beginner(1),m2014_q4c'',testbench.v,fwdref_tb_mismatch,PASS 0/100,patched
sequential logic,Expert(5),2013_q2afsm,testbench.sv,fwdref_tb_mismatch,PASS 0/555,patched
sequential logic,Expert(5),2013_q2bfsm,testbench.sv,fwdref_tb_mismatch,PASS 0/1002,patched
sequential logic,Expert(5),Count_clock,testbench.sv,fwdref_tb_mismatch,PASS 0/352413,patched
sequential logic,Expert(5),ece241_2013_q4,testbench.sv,fwdref_tb_mismatch,PASS 0/2040,patched
sequential logic,Expert(5),ece241_2014_q5a,testbench.sv,fwdref_tb_mismatch,PASS 0/436,patched
sequential logic,Expert(5),gshare,testbench.sv,fwdref_tb_mismatch,PASS 0/1083,patched
sequential logic,Expert(5),review2015_fancytimer,testbench.sv,fwdref_tb_mismatch,PASS 0/235447,patched
sequential logic,Expert(5),review2015_fsmonehot,testbench.sv,fwdref_tb_mismatch,PASS 0/3303,patched
sequential logic,Expert(5),rotate100,testbench.sv,fwdref_tb_mismatch,PASS 0/4005,patched
sequential logic,Hard(4),2012_q2fsm,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
sequential logic,Hard(4),2014_q3fsm,testbench.sv,fwdref_tb_mismatch,PASS 0/1414,patched
sequential logic,Hard(4),Fsm_hdlc,testbench.sv,fwdref_tb_mismatch,PASS 0/801,patched
sequential logic,Hard(4),Lfsr32,testbench.sv,fwdref_tb_mismatch,PASS 0/400411,patched
sequential logic,Hard(4),circuit10,testbench.sv,fwdref_tb_mismatch,PASS 0/232,patched
sequential logic,Hard(4),circuit7,testbench.sv,fwdref_tb_mismatch,PASS 0/123,patched
sequential logic,Hard(4),circuit8,testbench.sv,fwdref_tb_mismatch,PASS 0/240,patched
sequential logic,Hard(4),circuit9,testbench.sv,fwdref_tb_mismatch,PASS 0/245,patched
sequential logic,Hard(4),dualedge-2,testbench.sv,fwdref_tb_mismatch,PASS 0/224,patched
sequential logic,Hard(4),history_shift,testbench.sv,fwdref_tb_mismatch,PASS 0/2055,patched
sequential logic,Hard(4),lfsr5,testbench.sv,fwdref_tb_mismatch,PASS 0/4443,patched
sequential logic,Hard(4),review2015_count1k,testbench.sv,fwdref_tb_mismatch,PASS 0/8027,patched
sequential logic,Hard(4),review2015_fsm,testbench.sv,fwdref_tb_mismatch,PASS 0/5069,patched
sequential logic,Hard(4),timer,testbench.sv,fwdref_tb_mismatch,PASS 0/7127,patched
sequential logic,Intermediate(3),2012_q2b,testbench.sv,fwdref_tb_mismatch,PASS 0/600,patched
sequential logic,Intermediate(3),2014_q3c-2,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
sequential logic,Intermediate(3),Dff16e,testbench.sv,fwdref_tb_mismatch,PASS 0/443,patched
sequential logic,Intermediate(3),Fsm_ps2,testbench.sv,fwdref_tb_mismatch,PASS 0/400,patched
sequential logic,Intermediate(3),Fsm_ps2data,testbench.sv,fwdref_tb_mismatch,PASS 0/1619,patched
sequential logic,Intermediate(3),Fsm_serial,testbench.sv,fwdref_tb_mismatch,PASS 0/905,patched
sequential logic,Intermediate(3),Fsm_serialdata,testbench.sv,fwdref_tb_mismatch,PASS 0/905,patched
sequential logic,Intermediate(3),Rule110,testbench.sv,fwdref_tb_mismatch,PASS 0/6283,patched
sequential logic,Intermediate(3),Rule90,testbench.sv,fwdref_tb_mismatch,PASS 0/7121,patched
sequential logic,Intermediate(3),Shift18,testbench.sv,fwdref_tb_mismatch,PASS 0/4041,patched
sequential logic,Intermediate(3),ece241_2013_q12,testbench.sv,fwdref_tb_mismatch,PASS 0/530,patched
sequential logic,Intermediate(3),ece241_2013_q8,testbench.sv,fwdref_tb_mismatch,PASS 0/440,patched
sequential logic,Intermediate(3),ece241_2014_q4,testbench.sv,fwdref_tb_mismatch,PASS 0/118,patched
sequential logic,Intermediate(3),ece241_2014_q5b,testbench.sv,fwdref_tb_mismatch,PASS 0/436,patched
sequential logic,Intermediate(3),lemmings1,testbench.sv,fwdref_tb_mismatch,PASS 0/229,patched
sequential logic,Intermediate(3),lemmings2,testbench.sv,fwdref_tb_mismatch,PASS 0/441,patched
sequential logic,Intermediate(3),lemmings3,testbench.sv,fwdref_tb_mismatch,PASS 0/443,patched
sequential logic,Intermediate(3),lemmings4,testbench.sv,fwdref_tb_mismatch,PASS 0/1003,patched
sequential logic,Intermediate(3),m2014_q4d,testbench.sv,fwdref_tb_mismatch,PASS 0/100,patched
sequential logic,Intermediate(3),review2015_fsmseq,testbench.sv,fwdref_tb_mismatch,PASS 0/643,patched
sequential logic,Intermediate(3),review2015_fsmshift,testbench.sv,fwdref_tb_mismatch,PASS 0/200,patched
sequential logic,Intermediate(3),review2015_shiftcount,testbench.sv,fwdref_tb_mismatch,PASS 0/2071,patched
